year,type,sentence1,sentence2,similarity_score
2013,OnWN,the act of annoying someone or something,the act of applying force to propel something.,0.2
2012,MSRvid,A woman is applying cosmetics to her face.,A woman is putting on makeup.,4.6
2015,headlines,Boston bombing suspect to appear in court,Boston bombing suspect buried,1.2
2015,answers-forums,"I've experienced that feeling before, when I was a student in college.",A possible answer is that you are not getting enough sleep.,
2015,images,A man in a batman suit running.,A man in a batman costume is running a race.,
2016,headlines,Plane Crash Site Search Called off for the Night,Tour De France Pack Sets off for Stage 15,0
2014,deft-news,the panamanian foreign ministry communique stated that the task force will facilitate the technological transfer and promote the biofuel production and consumption. ,the panamanian foreign ministry communique stated that panama and brazil signed 3 juridical-issue treaties that included an extradition,1.8
2013,OnWN,The activity of looking thoroughly in order to find something or someone.,the act of removing or getting rid of something.,0.2
2015,headlines,World's oldest person dies in Japan at 116,Jiroemon Kimura: World's oldest person dies aged 116,4.8
2013,headlines,'No Evidence' In Afghanistan Massacre Case,"US toll in Afghanistan hits 2,000",0.8
2014,headlines,What is the nuclear option?,Photos show N. Korea nuclear readiness,1.2
2015,images,Two women holding checkered flags near an orange car.,Two ladies in skimpy clothes pose next to an old fashioned car.,2.8
2014,deft-news,"a number of suspected islamic militants with alleged al-qaida links have been arrested in malaysia and singapore, and officials stated the militants' network extends into indonesia. ",suspected islamic militants with alleged al-qaida links have been arrested in malaysia and singapore.,3
2012,SMTeuroparl,"He will stand trial on 8 January on charges of having attended a meeting of the Tunisian opposition in France, which he denies.","It passes in lawsuit next on January 8. It is reproached to him for having taken part in a meeting of Tunisian opponents in France, which besides it denies.",4.2
2015,images,Two dogs running through a field.,Two dogs play in a field.,4.2
2016,postediting,"The price of the production of paper, the activities of the print edition and have not changed.",The celebration of the Second crucial time for the Improvement of Record of the Equipe.,0
2013,headlines,Anti-American Protests Over Film Expand to Nearly 20 Countries,Anti-American fury sweeps Middle East over film,3.8
2015,answers-forums,Are we anthropormising the world when we incorporate cause & effect into our understanding of how the world acts?,The question you're asking is the main reason Kant wrote the Critique of Pure Reason.,
2015,belief,mi-6 stood by that statement.,let's start with a statment of affairs.,
2015,belief,talk about ebony & ivory.,"that was also about a blow job, of course.",
2014,deft-forum,Just so long as the tax on that sale is paid.,Just so long as the tax is paid.,3.8
2012,surprise.OnWN,the longer telegraphic signal of Morse Code,the longer of the two telegraphic signals used in Morse code.,4.5
2015,images,Two girls are jumping high in the air.,Two dogs nussle one another in the grass near a lake.,0.2
2015,belief,are you so desperate to appear clever that you have to make this sh*t up?,no one appears to have posted about this yet.,0
2012,MSRpar,The flamboyant entrepreneur flagged the plan after a meeting in London with Australian Tourism Minister Joe Hockey.,Sir Richard was speaking after a meeting in London with Australian Tourism Minister Joe Hockey.,2.8
2012,surprise.OnWN,The state of being more than satisfied or satiated.,the state of being more than full.,4.5
2014,OnWN,"be given to, come into the possession of",come into the possession of.,4.4
2015,belief,"we do have a disparity of ""justice"" in this nation, a severe one.",the courts will have a difficult time deciding this one.,1.2
2013,OnWN,the act of choosing or selecting,the act of dropping something.,0.8
2015,answers-forums,Here is my advice based on my personal experience pumping breastmilk for twin boys for a full year.,"I understand that the first 3 days are the most important, so much so it is vital you do it then.",0.4
2012,SMTeuroparl,We have heard that the previous Council Presidency first restructured and then scrapped the Ministry for Equality.,We have heard that the previous presidency has restructured first and then dismantled the Ministry of equal opportunities.,4.4
2015,answers-forums,Federal DOMA does not test the full faith and credit clause so much as the 9th and 10th Amendments to the Constitution.,Congress does not have to currently justify the laws it passes.,
2015,answers-forums,"They could, on the other hand, more easily extend their own RAW format(s).",There is something particularly conceptually wrong with throwing away the stuff that comes out of your camera.,
2015,answers-forums,Would going on a cargo ship count as a tour?,"Ozbus offer a 29 week tour of South America, starting and finishing in Quito.",1
2016,headlines,Putin spokesman: Doping charges appear unfounded,The Latest on Severe Weather: 1 Dead in Texas After Tornado,0
2012,SMTeuroparl,It is our job to continue to support Latvia with the integration of the Russian population.,It is our duty to continue supporting Latvia on the question of the Russian population.,4.5
2014,tweet-news,BHO Gun Proposal 2 Look Beyond Mass Shootings in taking steps to completely disarm Americans so that only Elites prtctd,Obama Gun Proposal to Look Beyond Mass Shootings,2.6
2012,surprise.OnWN,"be equivalent, have the same effect as something",be tantamount or equivalent to.,3.75
2015,answers-forums,"First, other sciences can have their concepts explained without math.","One way to think of mathematics is ""the study of patterns""1.",
2013,headlines,Massive Hurricane Sandy bears down on U.S. East Coast,Hurricane Sandy takes aim at US East Coast,4.4
2014,tweet-news,John Cale in Paris and Along the Borderline.  #music,Q. and A.: With John Cale in Paris and Along the Borderline,4.4
2012,SMTeuroparl,"Action is needed quickly, which is why we decided to include this item on the agenda.",It is urgent and that is why we have decided to put this item on the agenda.,5
2015,images,The two dogs are playing fetch in the snow.,Two dogs are playing together in the grass.,2.2
2014,tweet-news,"Apple makes a $13.1 billion profit, sells 28% more iPhones and 48% more iPads. Stock dips 11%","Apple?s Profits Are Flat, and Stock Drops",2.6
2014,headlines,Brooks pleads not guilty to hacking charges,Brooks pleads not guilty at phone hacking hearing,3.8
2014,OnWN,Reduce to small pieces by pounding or grinding.,reduce to small pieces or particles by pounding or abrading.,4.6666666667
2014,headlines,Yvette Cooper backs gay marriage bill,White House backs gay marriage,2.6
2012,MSRvid,A man is crying.,A woman is dancing.,0.6
2012,surprise.SMTnews,The Political Stock Market,The politicization of securities markets,2.833
2015,belief,he was so passed out that he didn't even flinch.,"as it's evident, the cops in that area didn't even do that!",
2012,surprise.OnWN,(Cause to) smell bad.,be extremely bad in quality or in one's performance.,0
2015,belief,christy is a fat sack of shit.,my heart goes out to all of them.,
2015,answers-forums,The thing I like about Evernote is that this is all they do (for now).,"Google keep is only Android and web, as far as I know.",
2014,headlines,"Kenyan police arrest key Al-Shabaab recruiter, financier",Kenya: Pair Arrested By Anti-Terror Police,3.2
2012,SMTeuroparl,I know that in France they have had whole herd slaughter and this does not seem to be the best way forward.,"I know that in France, the principle of demolition of the whole herd was applied and that does not seem the best means of fighting this phenomenon.",4.2
2014,OnWN,Apply conditioner to make smooth and shiny.,apply conditioner to in order to make smooth and shiny.,5
2015,answers-forums,"I say option D. When in doubt, you can try what Web browsers do.","TL;DR: Option D is the answer, and Option E may be an answer with minor corrections.",
2013,OnWN,the act of annoying someone or something,the act of dropping something.,0.2
2012,MSRvid,A man is riding a horse.,A man is driving a car.,1.4
2012,MSRvid,A woman is doing ballet.,A woman is riding on a horse.,1
2012,MSRpar,Shares of Guidant plummeted in trading both on and off the New York Stock Exchange before a news halt was imposed after midday.,Shares of Guidant were down 5.3 percent at $40.92 in afternoon trading on the New York Stock Exchange.,2.647
2016,postediting,"Then, when I became a dancer, I was trying to take care of my way to pay.","For me, it was clear that I had to be travel a day.",0
2012,MSRvid,A woman is cracking eggs into a bowl.,A woman is cracking eggs.,4
2012,MSRpar,Chairman Michael Powell and FCC colleagues at the Wednesday hearing.,FCC chief Michael Powell presides over hearing Monday.,3.2
2015,answers-students,bulb b did not create a gap in the path for bulb a and c,Bulbs A and C are still in closed paths,2.2
2014,tweet-news,"America, the Saudi Arabia of tomorrow -  Good Luck Saudi :)","America, Saudi Arabia of tomorrow",4.4
2015,images,A man doing a trick on a skateboard.,A man in mid air on a skateboard.,
2014,tweet-news,"Tragic. My thoughts and prayers go out to all...""At least 220 killed in Brazil nightclub fire""",Hundreds killed in Brazil nightclub fire,3.2
2014,headlines,Three feared dead after helicopter crashes into pub,Three feared dead after helicopter pub crash,5
2013,FNWN,this frame contains nouns denoting aggregates of individuals. the aggregates may be described by an aggregateproperty.,a number of sheets (ticket or stamps etc.) bound together on one edge,
2015,answers-forums,Peer pressure is empowered by the drive to belong and be accepted.,I was not allowed to watch Soap Operas while I was growing up.,
2015,answers-students,bulbs a and c are contained in different paths with the battery,A and C are in different paths with the battery,4.8
2015,images,A shirtless man rock climbs.,A man rock climbing.,
2012,SMTeuroparl,The vote will take place today at 5.30 p.m.,The vote will take place at 5.30 p.m.,4.429
2013,FNWN,"this frame contians lus which are like those of the desirability frame except the evaluee incorporates the parameter as ""associated with a percieved place in a social heirarchy"" for all lus. lus are not restricted to positive or negative implications.",being or characteristic of or appropriate to everyday language,
2014,headlines,Italian Prime Minister Mario Monti Resigns,'Palestinian Prime Minister Fayyad resigns',1.4
2015,belief,if a bj was the biggest concern of the nation with the president right now-the whole country would be a lot better.,i change the diaper at the normal time in the evening and it is huge and totally full of pee.,
2015,headlines,Putin signs Crimea annexe treaty,09:32 Putin signs off Crimea annexation,3.6
2012,MSRvid,A man is carrying another man over his shoulder.,A man is carrying someone on his shoulder.,3.25
2015,belief,bill clinton got a blowjob in the oval office.,"that was also about a blow job, of course.",1.4
2012,MSRvid,A man is playing a guitar.,A man is playing a flute.,1.583
2012,SMTeuroparl,We often pontificate here about being the representatives of the citizens of Europe.,We often take pride here in representing the European citizens.,4.5
2016,postediting,"Elena attack by Luca, then the embraces.","Elena, Luca and others come together, Marco makes a last speech and explains the plan of attack.",2
2015,images,The black dog is running on the grass.,The German shepherd dog is running through the snow.,
2015,images,One man and two women dressed in vampire costumes,A man and two women dressed in costumes.,3.4
2014,tweet-news,Gas prices creep up a bit,Gas prices tick up slightly,5
2015,headlines,Hushen 300 Index closes higher Wednesday,Hushen 300 Index ends higher Monday,
2015,answers-forums,"A black hole (briefly), is nothing more than a dead star whose mass was more than 3 solar masses.","I think you mean to ask, ""What is the local sidereal time of Greenwhich?"".",0
2015,answers-students,the path has to be closed,If a bulb and a switch are in the same path the switch affects the bulb,
2014,tweet-news,"Even thought I've downloaded #Google maps for #iPhone, I'm still using #Apple's built in maps. They're easier to use.",Google Gains From Creating Apps for the Opposition,1.4
2014,tweet-news,"Broken limbs, torn lives in northern #Mali - #Islamism #Sharia","Broken limbs, torn lives in Mali",4
2015,answers-students,bulbs a and b are still contained on a closed path with the battery,If C burns out then A and B are still in a closed path with the battery,3.4
2015,images,The skateboarder does a trick on a ramp.,The skateboarder gets to the top of the ramp.,
2012,SMTeuroparl,People with the same business affairs in common are peacefully bound to one another.,The common economic activities create peaceful links between people.,4.167
2012,SMTeuroparl,I am one of those Members who attends sittings quite faithfully.,I am one of the Members who are quite honourably here.,4.167
2012,MSRvid,A man is riding a skateboard.,A woman is cutting a potato.,0
2015,headlines,"Iranian, Afghan ministers confer","British, Iranian foreign ministers to meet at UN",
2015,belief,read a little deeper in the wikipedia article.,"you really do need to read what other experts in the field are saying, my friend.",1.8
2015,belief,"i've narrowed it down to god, gays and guns.",i didn't want to read and run hun.,0
2013,FNWN,"this frame is concerned with transparent nouns denoting a piece of a substance. also present is piece_prop which is a property of the piece, e.g. relating to its size.",a printed circuit that can be inserted into expansion slots in a computer to increase the computer's capabilities,0
2012,SMTeuroparl,"As a matter of urgency, therefore, the staff complement of the Interdepartmental Group attached to the Commission Secretariat should be strengthened at the earliest possible opportunity in order to ensure that all proposals for acts which are general in scope are accompanied, when considered by the College of Commissioners and on the basis of Article 299(2), by a simplified sheet outlining their potential impact.","Thus, it is urgent that manpower of the Interdepartmental Group are very quickly reinforced with the cur of the General Secretariat of the Commission, so that all the proposals of act of general scope can be accompanied, during their examination by the college on basis of Article 299, paragraph 2, of a detailed impact statement.",4.4
2012,SMTeuroparl,"As I already explained during second reading, there is a crisis underlying this directive amendment.","As I have already explained at second reading, a crisis is on the basis of this amended directive.",5
2013,headlines,Strong quake jolts most parts of Pakistan,Strong quake hits eastern Indonesia,2
2015,answers-forums,"As an complement to the other answers, let me address the question of why planets tend towards tidal locking.",The other answers here are fantastic at explaining in a technical sense.,0.4
2014,deft-news,officials state that decision about the treaty will depend on u.s. action on its plans to deploy missile defense systems in poland and the czech republic. ,russian military officials stated the decision would depend on whether the united states proceeds with its plan to deploy missile defense components in poland and the czech republic.,4
2016,headlines,US to Determine Extent of Chemical Weapons Use by Syria,What we know so far about chemical weapons in Syria's civil war,2
2014,headlines,"Two U.S. soldiers killed in ""insider"" attack in Afghanistan",8 soldiers killed in bomb attack in NW Pakistan,0.8
2014,tweet-news,"This is a pretty amazing read. #howstuffworks NYTimes: Coins, Bills and the National Debt",Economix Blog: Bruce Bartlett: Accounting for a $1 Trillion Platinum Coin,0.8
2015,answers-students,terminal 1 is connected to the negative terminal.,Terminals 1 and 2 are connected and in the same electrical state,
2015,answers-forums,"Over the past 150 years, telescope technology has improved immensely, so we can now see much further than in the past.",There are a couple of different horizons you should care about.,
2012,MSRvid,The rhino grazed on the grass.,A rhino is grazing in a field.,4
2012,MSRvid,someone is slicing a vegetable.,Someone is slicing a tomato.,3
2015,answers-forums,"Art is obsession, and how well (or badly) it's dealt with seems to fascinate artists.",Eudora Welty's One Wrtier's Beginnings weaves together in an absolutely lovely way the story of her journey as a writer.,
2013,OnWN,"Have a distinctive or characteristic taste, perceptible by an experiencer.",have a distinctive or characteristic taste.,4
2015,belief,i didn't want to worry you.,insignificant to you maybe.,
2015,belief,"by the way, the truth of the super committee negotiations is that the democrats didn't off one single plan.",i'd say the precedent was set when the democrats gave clinton a pass for lying under oath.,
2015,headlines,Five killed in Belgian coach crash,Eleven dead in Belgian plane crash,
2015,headlines,"International weapons experts leave Syria, Obama to make statement","Weapons experts leave Syria, U.S. prepares attack",2.8
2016,headlines,Pranab stresses need to strive for peace by nations,WTO: India regrets action of developed nations,0
2012,surprise.SMTnews,Will it give us the right to divorce the husbands who abandon us?,A couple who have left?  ,1
2015,belief,killing in the us is just part of day-to-day life in the us.,it gives me just as good a reason never to use ebay.,0
2012,SMTeuroparl,All those who are at present engaged in illicit work would obtain work with decent social conditions.,All those who are currently working on the black market to obtain an employment in decent social conditions.,4.6
2014,headlines,Moderate earthquake jolts NW Pakistan,Moderate earthquake hits southern Pakistan,3
2014,tweet-news,"isn?t it sad, that events like the massacre in Conneticut have to happen for us to notice it #challenges",An Added Mission for Arizona Sheriff?s Immigration Posse: School Patrols,0
2016,headlines,Obama holds out over Syria strikes,UK urges countries over Syria aid,1
2015,answers-forums,I use a small camel bag (not too full) for that.,I personally run with amphipod's runlite belt with or without the bottles [depends on the length of the run.,
2012,SMTeuroparl,The other viewpoint illustrated by the rapporteur' s initial statement and shared by a number of members is to promote regulations and codes of conduct which are needed in order to establish among insurers ways of organising costs on a mutual basis providing everybody with guaranteed access to high-quality care and to counter the risk of discriminatory practices developing together with risk and client selection.,"The other point of view, illustrated by the initial matter of the rapporteur and shared per number of Members, consists in promoting the regulations and the codes of conduct necessary to found, between insurers, the forms of mutualisation of the costs guaranteeing to all the supply of an high quality of care and to counter the risks to see developing discriminatory practices and a risk selection and customers.",4.2
2012,MSRvid,A woman is cutting some fish.,A woman is cutting tofu.,2.2
2015,belief,"now, to address your ""point"".","no, it's not just you.",
2015,belief,"if this is accepted as the norm, what will follow?",this is the wrong thread for this.,
2016,question-question,Is it ok to apply for more than one Phd student program?,Is it advisable to apply to more than one PhD program?,4
2012,MSRvid,The woman is rolling dough.,A woman is flouring and rolling dough.,3.765
2015,images,Two dogs in the snow,Two dogs play in the grass.,2.4
2014,deft-news,an institute for public policy research report said there are 27 weak states that pose a threat to britain's national security as the states could provide bases for terrorists. ,the report said there are 27 weak states that pose a threat to britain's national security as the states could provide bases for terrorists.,4.2
2014,tweet-news,"What happened in Australia ... I Went After Guns. Obama Can, Too.","Op-Ed Contributor: Australia Banned Assault Weapons. America Can, Too.",4
2015,images,Three dogs walking in the grass.,Three dogs playing in the green water.,
2015,headlines,Gang violence kills 16 in Venezuelan prison,Sixteen killed in Venezuela prison,4
2015,images,A brown dog shaking its head.,A brown dog wearing a chain around its neck is shaking it head.,
2015,images,A brown dog walks in the grass with it's tongue hanging out.,"A grey dog walks in the green grass, tongue hanging out.",
2012,SMTeuroparl,"Mr President, we took a great deal of care over preparing the Karamanou report in the Committee on Citizens' Freedoms and Rights, Justice and Home Affairs.","Mr President, the Committee on Citizens' Freedoms and Rights, Justice and Internal Affairs has prepared with great care the Karamanou report.",4.6
2013,headlines,Amnesty: Syria rebels also committing abuses,Amnesty investigator: Syria rebels also committing abuses,4.2
2015,images,A group of people in boats racing towards the shore.,A group of people stand together and pose in front of a house.,0.8
2013,headlines,"Gaza militants fire 40 rockets into Israel, 3 hurt: police",Gazans fire four rockets into Israel, no injuries
2015,answers-students,A switch will affect a bulb it the bulb and the switch are in the path as the battery,When the switch and the bulb are contained in the same path,3
2012,SMTeuroparl,"This is a vague area, and it is possible that more restrictive provisions may also remain in force, and this is one point in respect of which we have tabled amendments.","Things are not clear on this point, and it is not impossible that we can also remain in force more restrictive provisions, but particularly on this point that we have tabled amendments.",4
2012,surprise.OnWN,provide with a toggle,provide with a toggle or toggles.,4.75
2012,MSRvid,A dog knocks a boy into the water twice.,A dog pushes a toddler into a rain puddle.,2.692
2014,headlines,Gas cylinder blast on Pakistan school bus kills 17,Deadly Gas Cylinder Blast Hits Pakistan School Bus,3.8
2012,SMTeuroparl,"The UK Labour members of the PES Group welcome the adoption of their contribution to the ongoing work of the IGC on reinforced cooperation, without endorsing every single detail.",". The British Labour Members of the PSE Group welcomes the support given to the contribution to the work of the IGC on closer cooperation, without adhere entirely with all the details of this.",4.4
2015,belief,other parts of the study's methodology is flawed.,your comparison of the bush years with the clinton years is a joke.,
2014,tweet-news,J.J. Abrams set to direct ?Star Wars: Episode VII?,J.J. Abrams to Direct Next 'Star Wars' Movie,4.2
2015,images,Three dolphins are jumping out of a pool in front of a crowd of people.,A man is giving a presentation in front of a lot of people.,0.6
2012,SMTeuroparl,Slovakia has not been condemned to the second division and it is logical that it should like to join together with the Czech Republic.,Slovakia is not condemned to remain in the second group and it is logical that it wants to join the Union at the same time as the Czech Republic.,4.667
2015,belief,"the problem with these 'resolutions' targeting iran is that everyone can see the hypocrisy, its a case of our allies can have nukes but others can't.","the problem is, that i don't really have a life plan but i am the sort of person who likes to have things fairly planned out.",
2012,SMTeuroparl,As long ago as 1996 the European Parliament came out in favour of a ban on the use of meat-and-bone meal throughout the European Union in accordance with the precautionary principle - if only.,"In 1996, the European Parliament was in favour of a ban on the use of meat meal in the European Union, in accordance with the precautionary principle - if only we had listened to.",3.8
2014,OnWN,the political head of city government,the head of a city government.,4.8
2012,MSRvid,A man is paddling a canoe.,A man is playing a harp.,0.667
2012,MSRvid,A woman is picking tomatoes.,A woman is pouring batter into a bowl.,1
2015,images,A dog runs through the deep snow.,A white dog is running through the snow.,
2015,belief,am wondering weather to sleep in the spare bedroom tonight!,something rather strange happened last night.,
2015,belief,also asked about getting an injunction against him they gave me the number for womans aid to get help with obtaining one.,i said fine can she give me their number and she said she would put me on hold.,0.83
2013,OnWN,to argue or plead in favor of,argue or speak in defense of.,4
2013,OnWN,scratch or scrape with claws or nails,attack as if with claws.,4
2016,headlines,North Korea says to put US citizen on trial,North Korea says detained American tourist to face trial,5
2015,headlines,Gunmen 'kill 10 tourists' in Kashmir,Gunmen kill four in Kenya church attack,2.2
2012,MSRvid,A man is playing the piano.,A man is playing the trumpet.,1.6
2012,surprise.OnWN,"the primary information-processing component of a computer, of a microprocessor chip",(computer science) the part of a computer (a microprocessor chip) that does most of the data processing.,4.75
2014,OnWN,the act of providing help or aid to someone,the act of looking or seeing or observing.,0
2016,headlines,Texas sues over Syrian refugees,Turkey 'exploits' Syrian refugees,1
2015,belief,"by the way, the truth of the super committee negotiations is that the democrats didn't off one single plan.",i'd say the precedent was set when the democrats gave clinton a pass for lying under oath.,0.7
2015,answers-students,Because it stops the flow of one side of a battery from reaching the other light bulbs.,the path is not closed,
2015,answers-students,there is a gap between the battery terminal and the bubl terminal,the terminals are separated by a gap,
2015,headlines,Most victims of fiery bus crash identified,38 bodies of victims identified,
2015,answers-forums,We never gave our foster pup (who LOVES to chew) rawhides because we've heard that they're dangerous if they splinter.,In my experience the benefits of chewing raw or smoked bones far outweigh the draw backs.,
2012,surprise.SMTnews,Those who know little about modern factory farming may wonder why such legislation would be necessary.,Those who do not know the intensive farming methods will be astonished perhaps the need for such legislation.,4
2012,MSRpar,Prosecutors did an about-face in May and asked that the autopsy reports be unsealed after portions of Conner Peterson's autopsy report favorable to the defense were leaked to the media.,They asked that the autopsy reports be unsealed after portions of the autopsy report on Peterson's unborn son that were favorable to the defense were leaked to the media.,4
2012,MSRvid,A boy is playing a key-board.,A little boy is playing a keyboard.,4.8
2015,answers-forums,"From an atheist philosophical standpoint, how is existential contingency explained or accounted for?","My whole use of the word ""dream"" -- probably yours too!",
2016,postediting,"The sexes have imposed a ban on Glitter six months after he had spoken to the authorities who have under control, its intention to go to Spain from France.","The magistrates have imposed a ban of six months on Glitter after he had spoken to the authorities who had him under control, of his intention to go to Spain via France.",3
2015,belief,"for example, it's okay for you to impose your value, because you are special?","you're better off without him in your life, and you'll have a life.",
2012,surprise.OnWN,A plant structure near the top of the plant.,a fruiting structure resembling an umbrella or a cone that forms the top of a stalked fleshy fungus such as a mushroom.,2
2012,MSRvid,A man is assembling speaker parts.,A man is playing the guitar.,1
2015,headlines,China HSBC manufacturing PMI hits seven-month low in February,Manufacturing hits seven-month low in China,
2013,headlines,"Isaac drenches Haiti, heads toward Cuba, Florida",Isaac nears Haiti with homeless quake population,2.4
2015,headlines,British teenager killed in fall from Magaluf hotel,British teenager killed in Magaluf hotel fall,5
2015,images,Two men sit on the sidewalk in front of stores.,A woman in a bathing suit walks a dog on the beach.,0
2013,headlines,France's Strauss-Kahn charged with involvement in prostitution vice ring,Strauss-Kahn charged in prostitution vice ring,4
2013,FNWN,an entity is able to exert a force of the magnitude specified by the target.,having little impact,
2015,belief,you can bitch all you want about tax rates.,"good catch, i forgot alcohol and cigarettes.",
2014,tweet-news,Here we go again.. A man says he's 'certain' he knows where Hoffa is buried.,Man convicted in mob crimes says he's 'certain' where Hoffa is buried,3.4
2015,images,Two dogs play by a tree.,A dog chases another by a tree.,
2015,belief,always easy to blame others for your ineptitude.,they are with us for our lifetimes and beyond.,
2015,headlines,Protests continue in tense Ukraine capital,Protests Continue In Ukraine's Capital,5
2012,surprise.OnWN,a coefficient assigned to elements in a frequency distribution in order to indicate the relative importance of each element,(statistics) a coefficient assigned to elements of a frequency distribution in order to represent their relative importance.,4.75
2015,answers-students,terminal 1 is conected to terminal 6,Terminals 1 and 6 are separated by the gap,
2015,answers-forums,In Lebanon (and in some other places) 'Christian' is as much an ethnic and cultural as a religious designation.,Christians and muslims in Lebanon both are separated internally in their political point of view toward Syria.,
2015,belief,for your advice guys!!,for your advice guys...my,4.8
2015,belief,the entire caribbean ocean has been poisoned.,the entire caribbean poisoned?,3.2
2015,belief,"don't you follow, and want our laws to follow all of leviticus?","she's on line here but hasn't answered as to whether or not she follows all of leviticus, and whether or not she want's our nation's laws to follow all of leviticus.",3
2015,answers-students,because switch y is not conatined in the closed path of bulb a and the battery.,Bulb A is still in a closed path with the battery,1.2
2015,images,Two gray dogs run together over the green grass.,Two dogs playing together on the grass.,
2014,headlines,Egypt interior minister survives bomb,Egypt's interior minister survives bomb attack,5
2014,deft-forum,How do you know what's right and wrong?,How do you know which story is the right one?,2.2
2016,headlines,"Philippines, Canada pledge to further boost relations",Philippines saves 100 after ferry sinks,0
2015,images,Four people standing outside of an outdoor ticket booth.,Four people wait outside in a line for ticket.,
2012,SMTeuroparl,Amendment No 7 proposes certain changes in the references to paragraphs.,The amendment 7 proposes some changes in the references to the paragraphs.,4.833
2015,answers-students,A closed path with a battery enables the bulb to be on.,If a bulb and a switch are in the same path the switch affects the bulb,2
2016,plagiarism,So the same rule applies with keywords and indeed longer phrases.,"Single words, keywords and occasionally longer phrases are used for terms.",3
2012,MSRvid,A woman cuts a pineapple.,A woman is slicing a pineapple into pieces.,4
2015,answers-forums,There is something that a teacher told us regarding the bullying between our toddler (3) and our infant (1 year).,"When you are talking about babies and toddlers, bullying is a lot simpler than it can be with older children.",
2012,MSRvid,The woman is slicing tofu.,The woman is putting on lipstick.,0.4
2013,headlines,Civilians Bear Brunt of Afghan Attacks,Taliban launch coordinated Afghan attacks,1.8
2015,headlines,Barack Obama cancels meeting with Vladimir Putin over Edward Snowden,Barack Obama drops meeting with Vladimir Putin over Ed Snowden affair,
2013,FNWN,the entity interacts with the theme with the effect of moving of the theme.,(physiology) regulation or maintenance of a function or action or reflex etc,
2016,postediting,What good to facilitate the advent of such a competitor?,What good then to facilitate the advent of such a competitor?,5
2016,question-question,How to deal with the child when both the parents are not on the same page?,How to deal with the toddler when me and my partner are not on the same page?,4
2015,images,A black and white dog running through an obstacle course,A black and white dog runs through pole obstacles.,
2012,surprise.SMTnews,The Political Stock Market,The politicization of securities markets,2.833
2014,OnWN,provide with a soundtrack or voiceover,provide (movies) with a soundtrack of a foreign language.,3.4
2012,surprise.SMTnews,Iraq's future depends directly on the fate of Iraqi oil production.,The future of Iraq is linked to the oil production in the country.,5
2015,images,A girl holds up a yellow balloon animal.,A child holds a yellow balloon.,4
2012,MSRpar,"Carnival Corp. stock was trading at $31.29 during midday trading Wednesday, down 72 cents or 2.25 percent.","Carnival Corp. stock was down 2.5 percent, or 81 cents, at $31.20 on the New York Stock Exchange.",3.2
2015,answers-forums,"I think it largely depends on what kind of ""children's book"" we're talking about.","Actually, this is the only situation where run-on sentences should be used (and work better than short sentences).",
2012,MSRvid,The baby laughed in his car seat.,A baby is laughing.,3.1
2015,answers-students,"Bulb A, bulb B, and bulb C are contained in different closed paths.",A and C are in different paths,
2012,MSRvid,A woman peels a potato.,A woman is grilling pineapples.,1
2012,MSRpar,Local police authorities are treating the explosion as a criminal matter and nothing has been ruled out.,Acting New Haven Police Chief Francisco Ortiz said police were treating the explosion as a criminal matter.,3.4
2015,answers-forums,I think that the problem is that often many professors underestimate the PhD student's will and personal scientific aims.,One difficulty is that it's far from clear what the ideal dropout rate should be.,
2015,belief,does this sound like the sensible option.,so what does this have to do with newt?,0.4
2012,SMTeuroparl,"I find it rather odd that people are already trying to tie the Commission's hands in relation to the proposal for a directive, while at the same calling on it to present a Green Paper on the current situation with regard to optional and supplementary health insurance schemes.",I find it a little strange to now obliging the Commission to a motion for a resolution and to ask him at the same time to draw up a Green Paper on the current state of voluntary insurance and supplementary sickness insurance.,4.4
2012,MSRpar,"The Dow Jones Industrial Average fell 98.32, or about 1.1 percent, to 9011.53.","The Dow Jones industrial average finished the day down 98.32 points at 9,011.53.",3.4
2014,OnWN,A fee levied for the use of roads or bridges.,a fee levied for the use of roads or bridges (used for maintenance).,4.4
2012,surprise.OnWN,"Immerse or be immersed in a boiling liquid,  for purposes of cooking or processing.","immerse or be immersed in a boiling liquid, often for cooking purposes.",5
2013,OnWN,To remain emotionally or intellectually attached without necessary physical contact.,to remain emotionally or intellectually attached.,3.8
2015,answers-students,It determines whether or not the light bulbs will turn on.,If a bulb and a switch are in the same path the switch affects the bulb,
2012,MSRvid,A person uses a blowtorch on two cameras.,A person is burning cameras.,2.333
2016,question-question,How long can you keep chocolate in the freezer?,How long can I keep bread dough in the refrigerator?,1
2015,headlines,Comedy actor Felix Dextor dies aged 52,British comedian Felix Dexter dies of cancer,
2015,answers-forums,"In the U.S., ""buffalo"" and ""bison"" are used interchangeably for the species Bison bison (latin name).","To my knowledge, they are all separate species within the Bovini genus.",
2012,SMTeuroparl,"I call on Prague to respond to this signal, this challenge, this plea for dialogue, to grant our request and to ensure, together with our House, that this legacy of a nationalist era can be consigned to the past.","I invite Prague to seize this sign, this invitation, this request for dialogue, to follow up and to ensure that, together with this House, these reliques an era nationalist may be abandoned.",4.8
2012,MSRpar,"At one of the three sampling sites at Huntington Beach, the bacteria reading came back at 160 on June 16 and at 120 on June 23.",The readings came back at 160 on June 16 and 120 at June 23 at one of three sampling sites at Huntington Beach.,3.25
2015,images,A girl is running on a desert path.,A young girl is talking on a cell phone.,0.8
